Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
8573;Howick;Kwazulu-Natal;Pinus;radiata;Pottrial;A;F;Healthy,Dry;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Wilted,S,Discoloration;FusariumcircitumandDiplodiascreening
8574;Howick;Kwazulu-Natal;Pinus;radiata;bark;A;F;PlantHealthy;Welldeveloped,Dead,Plugboundd;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Dead;FusariumcircitumandDiplodiascreening
8575;Bulwer;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Fewroots,Dead;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark,Cambium;Alive;Fusariumcircitumscreening
8576;Howick;Kwazulu-Natal;Pinus;radiata;Hedge;D;F;Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Health;Healthy;Wilted;FusariumcircitumandDiplodiascreening
8577;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Looksealthy;Healthyy;Health;Healthy;Alive;ScreeningforPhytophthora/Pythium
8578;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Healthyy;Health;Healthy;Alive;ScreeningforFusariumcircitum
8579;Sabie;Mpumalanga;Pinus;radiata;Seed/Cuttings;A;N;Healthy,Root:shootratio;Healthyy,Fewroots;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration,Outerbark,Cambium;Alive;ScreeningforFusariumcircitum
8580;BrianLaw;Bergplaas;Pinus;radiata;Twigs/Branch,Leaves/Needles,Seed;D;F;Leafspot;Noroots;Discolorationn,Cambium;Discoloration,Outerbark,Cambium;Alive;ScreeningforpathogenicFungi/bacterium
8581;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Welldeveloped,Healthy;Welldeveloped,Dead;Discolorationn,Cambium,Fruitingbodies,Sapwood;Alive;Wilted,Discoloration;ScreeningforFusariumciricnatum
8582;BrianLaw;WesternCape;Pinus;radiata;Seed;D;F;Brownleavesatbottom,greenattop;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn,Outerbark;Discoloration,Outerbark;Wilted,Discoloration;ScreeningforpathogenicFungi/bacterium
8583;Cascades;Norhternprovenence;eucalyptus;radiata;Leaves/Needles;D;F;Die-back;Dead;Discolorationn;Alive;Wilted,Discoloration;ScreeningforpathogenicFungi/bacterium
8584;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;N;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn,Cambium,Fruitingbodies,Sapwood;Alive;Wilted,Discoloration;ScreeningforFusariumciricnatum
8585;Lothair;WesternCape;Pinus;radiata;Cuttings;D;F;Root:shootratio;Dead;Discolorationn,Cambium;Wilted,Dead;Alive;Cylindrocladiumsp
8586;WildebeestEstate;Kwazulu-Natal;Pinus;radiata;Seed;D;N;Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn;Dead;Wilted,Discoloration,S;Fcir
8587;WildebeestEstate;Comrie;Pinus;radiata;Seed;D;N;Welldeveloped,Drying;Discoloration,Outerbark,Betweenouter&innerbark;TooDry;Healthy,Discoloration,Sapwood;Wilted,Discoloration,S;Fcir
8588;Brakenhill;WesternCape;Pinus;radiata;root,rootcollar,Seed,GrowthSeed;D;F;Die-back;Healthyy;Health;Discoloration;Wilted,Discoloration,S;Fusariumscreening
8589;Homtini;WesternCape;Pinus;radiata;Seed;D;N;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead;Mechanicaldamage,Health;Wilted,Discoloration;Wilted,Discoloration;Fusariumscreening
8590;Buffelsnek;WesternCape;Pinus;radiata;Seed;D;F;Welldeveloped,J-rooting,Healthy;Welldeveloped,J-rooting,Dead;Mechanicaldamage,Health;ResinExudation;Wilted,Discoloration,S;Fusariumscreening
8591;Cascades;Bergplaas;Pinus;radiata;Seed;D;F;Welldeveloped,J-rooting,Healthy;Welldeveloped,J-rooting,Dead;TooDry;ResinExudation;Wilted,Discoloration,S;Fusariumscreening
8592;WildebeestEstate;Bergplaas;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Mechanicaldamage,J-rooting;Mechanicaldamage,Health;ResinExudation;Wilted,Discoloration,S;Fusariumscreening
8593;Knysna;WesternCape;Pinus;radiata;Seed/Cuttings;D;N;Healthy;J-rooting,Dead;Health;Healthy,Cambium,Betweenouterandinnerbark;Alive;Pythium,PhytophthoraandFusariumscreening
8594;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Welldeveloped,MostlyHealthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
8595;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Welldeveloped,Drying;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
8596;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Welldeveloped,MostlyHealthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
8597;Ruigtevlei;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Root:shootratio;Fewroots,Dead;Discolorationn,Outerbark;Discoloration,Outerbark;Alive;Fusariumscreening
8598;George;WesternCape;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Dead;Mechanicaldamage,Health;Wilted,Dry??????y??;Wilted,Discoloration,S;Fusariumscreening
8599;Bergplaas?;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Welldeveloped,Drying;Mechanicaldamage,J-rooting;Health;Healthy;Alive;Fusariumscreening
