Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
1;Kwambonambi;Kwazulu-Natal;eucalyptus;A0;Seed,root;D;F;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn;Alive;Alive;Ralstoniasolacearum
2;klipkraal;Comrie;Pinus;A0;Seed;A;N;Die-back;Healthyy;Health;Healthy;Alive;Fcir
3;klipkraal;Comrie;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,Dry;Healthyy;Health;Healthy;Alive;Fusariumscreening
4;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
5;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
6;Ngodwana;Mpumalanga;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped,Healthyy,Dead;Health;Healthy;Alive;Fusariumscreening
7;Upington;Comrie;Rhus;A0;Seed;A;F;Die-back;Healthyy;Health;Healthy;Wilted,Dead;Cytosporasp
8;Knysna;Tetworth;Pinus;A0;Seed/Cuttings;A;F;Healthy;Welldeveloped,Healthyy;Discolorationn,Sapwood,Health;Healthy;Alive;Fusariumscreening
9;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped,Healthyy;Discolorationn,Health;Healthy;Alive;Fusariumscreening
10;WhiteRiver;Mpumalanga;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
11;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Wilted,Dead;Fusariumscreening
12;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Healthy;Alive;Fusariumscreening
13;Sabie;Mpumalanga;Acacia;A0;Seed/Cuttings;A;F;Root:shootratio,Healthy;Fewroots,Dying;Health/Clean;Outerbark,AlmostDead;Wilted,Discoloration;ScreeningforFusariumciricnatum/Diplodia
14;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Welldeveloped,Healthy;Fewroots;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Alive;Fusariumciricnatum
15;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Health,Discolorationn;Healthy;Wilted,Dead;bacterium
16;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Brownroots,Greentips;Welldeveloped,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Healthy;Alive;Cylindrocladium
17;Hilton;Kwazulu-Natal;eucalyptus;A0;Seed/Cuttings;D;F;Discoloouredtipstip;Fewroots,Dead;Health;Healthy;Alive;Diplodeapinea
18;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;F;Die-back;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark;Wilted;Secondarybacterium/Fungi
19;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead;Discolorationn;Discoloration;Discoloration;Secondarybacterium/Fungi
20;WhiteRiver;Mpumalanga;eucalyptus;A0;Seedlings/Cuttings;D;F;Brownroots,Greentips;Noroots;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood,Fruitingbodies;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood,Fruitingbodies;Dead;Secondarybacterium/Fungi
21;Howick;Kwazulu-Natal;Pinus;A0;Branch,Seed;D;F;Healthy;Welldeveloped,Dead,J-rooting,Plugboundd;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Wilted,S;FusariumcircitumandDiplodiascreening
22;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead;Discolorationn;Discoloration;Alive;Fusariumscreening
23;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
24;Ngodwana;Mpumalanga;Pinus;A0;Seed/Cuttings;A;N;Drycorch;Dead;Discolorationn;Discoloration;Alive;Fusariumscreening
25;Ngodwana;Mpumalanga;Pinus;A0;Seed/Cuttings;A;N;Drytunted;Welldeveloped;Discolorationn;Discoloration;Alive;Fusariumscreening
26;klipkraal;WesternCape;Pinus;A0;Seed/Cuttings;A;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
27;WhiteRiver;Mpumalanga;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
28;Benvie;WesternCape;Acacia;A0;Seed/Cuttings;D;N;Root:shootratio;Welldeveloped,Dead;Discolorationn,Sapwood;Healthy;Discoloration;Fusariumscreening
29;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;F;Die-back;Welldeveloped,J-rooting;Discolorationn,Outerbark,Cambium;Alive;Alive;Fusariumscreening
30;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Die-back;Welldeveloped,J-rooting;Health,Discolorationn,Outerbark;Healthy;Alive;Fusariumscreening
31;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Die-back;Welldeveloped,Dead;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Wilted;Fusariumscreening
32;Scottsville;WesternCape;Pinus;A0;Seed/Cuttings;A;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
33;Elandshoogtediseased;WesternCape;Pinus;A0;Seed/Cuttings;D;N;Brownroots,Greentips;Welldeveloped;Discolorationn,Cambium;Discoloration;Discoloration;Fusariumscreening
34;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;A;F;Welldeveloped,Healthy,J-rooting,Plug-bound;Welldeveloped,Healthyy,J-rooting;Discolorationn;Discoloration;Alive,Discoloration;10Fusariumciricnatumdetected
35;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Welldeveloped,J-rooting,Healthy,Plugbound;Welldeveloped,Dead;Discolorationn,Outerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Alive;Fusariumciricnatum
36;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Root:shootratio,Healthy;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium;Wilted,Discoloration;Fusariumciricnatum
37;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;F;Dry,Healthy;Dead;Discolorationn;Alive;Wilted,Discoloration;Secondarybacterium/Fungi
38;Ngodwana;Mpumalanga;Pinus;A0;Seed/Cuttings;D;F;Root:shootratio,Healthy;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Healthy,Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Alive;Secondary/generalfungi&bacterium
39;Sabie;Mpumalanga;Pinus;A0;Seed;A;F;Welldeveloped,J-rooting,Plugbound;Welldeveloped,J-rooting,Dead,Plugboundd;Betweenouterandinnerbark;Wilted;Alive;Secondary/generalfungi&bacterium
40;Kwambonambi;Kwazulu-Natal;eucalyptus;A0;Seed;D;F;discolouration,Tipdieback,Wilting,Drytemcankers;Welldeveloped,Healthyy;Discolorationn;Discoloration;Alive;Generalbacteriumandfungi,Collectrichum
41;Sabie;Mpumalanga;Pinus;A0;Seed/Cuttings;A;N;Healthy;Healthyy,Fewroots;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration,Outerbark,Cambium;Alive;ScreeningforFusariumcircitum
42;WhiteRiver;Kwazulu-Natal;Macadamia;A0;Soil,rootd,Seed,Seed;D;N;Healthy,Healthy;J-rooting,Fewroots,Plugboundd;Discolorationn,Cambium,Sapwood;Healthy;Wilted,Discoloration;ScreeningforpathogenicFungi/bacterium
43;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Drytunted;Welldeveloped,Dead;Discolorationn;Discoloration;Dead;Fusariumscreening
44;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped;Health;Healthy,Mechanicaldamage;Alive;Fusariumscreening
45;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,J-rooting;Discolorationn;Discoloration;Alive;Fusariumscreening
46;Elandshoogtediseased;WesternCape;Pinus;africa;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped;Discolorationn;Discoloration;Discoloration;Fusariumscreening
47;WhiteRiver;Mpumalanga;Pinus;africa;Seed/Cuttings;D;N;Root:shootratio;Plugboundd;Discolorationn,Cambium;Healthy;Alive;Fusariumciricnatum
48;Sabie;Mpumalanga;Pinus;africa;Seed/Cuttings;A;F;Root:shootratio;Welldeveloped;Health/Clean;Dead;Dead;Phaeophleopsporasp
49;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy;Welldeveloped;Discolorationn,Outerbark,Betweeninnerandouterbark,Cambium;Discoloration,Outerbark,Betweeninnerandouterbark,Cambium,Healthy;Alive;Fusariumciricnatum
50;Barbeton;Mpumalanga;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting,Plugbound;Welldeveloped,Dead;Discolorationn;Healthy,Discoloration,Outerbark,Sapwood;Alive;Fusariumciricnatum
51;Howick;Kwazulu-Natal;Acacia;africa;Seed/Cuttings;A;F;Die-back,Healthy;Welldeveloped,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Wilted;Wilted,Discoloration;9isolatesofFusariumciricnatum
52;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting,Plugbound;Welldeveloped,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark;Alive;Fusariumciricnatum
53;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting,Plugbound;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium;Alive;Fusariumciricnatum
54;Ngodwana;Mpumalanga;Pinus;africa;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Discolorationn,Outerbark;Discoloration,Cambium;Alive;Fusarium,PythiumandPhytophthorascreening
55;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Healthy;Welldeveloped;Discolorationn,Swelling;Discoloration;Dead;Fusariumciricnatum
56;WhiteRiver;Mpumalanga;eucalyptus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting;Dead;Betweenouterandinnerbark;ResinExudation;Alive;Fusariumscreening
57;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting;Welldeveloped,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark;Discoloration;Alive;Fusariumciricnatum
58;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting,Plugbound;Welldeveloped,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Alive;Fusariumciricnatum
59;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Die-back;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark;Alive;Secondarybacterium/Fungi
60;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Dead;Secondarybacterium/Fungi
61;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Welldeveloped,Healthy;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Healthy;Wilted;Secondarybacterium/Fungi
62;Howick;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;D;F;Healthy,Drytunted;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Sapwood,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark,Sapwood,Cambium;Alive;Secondarybacterium/Fungi
63;Howick;Gauteng;Celtis;africa;60-70yearsofage;D;N;J-rooting,Dryrootss;Welldeveloped,Dead,J-rooting;Discolorationn;Discoloration,Outerbark;Wilted,Dead;ScreeningforPhytophthora
64;Howick;Kwazulu-Natal;Pinus;africa;Seedlings/Cuttings;A;F;Die-back,Healthy;Welldeveloped;Discolorationn,Outerbark;Discoloration,Outerbark;Wilted;FusariumcircitumandDiplodiascreening
65;Ixopo;Kwazulu-Natal;Pinus;africa;Seed/Cuttings;A;N;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;ScreeningforFusariumcircitum
66;PietRetief;Mpumalanga;eucalyptus;benthamii;Seed/Cuttings;D;N;Welldeveloped,Healthy;Dead,J-rooting;Girdling,Discolorationn,Swelling,Cambium;Swelling;Alive;Fusariumscreening
67;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;A;F;Welldeveloped,J-rooting,Healthy;Welldeveloped;Discolorationn,Sapwood,Cambium;Discoloration,Sapwood,Cambium;Alive;ScreeningforFusariumcircitum
68;PietRetief;Mpumalanga;eucalyptus;benthamii;Soil,leaves;D;F;Die-back;Dead;Discolorationn;Healthy;Wilted,Dead,Discoloration;FSP
69;Underberg;Tetworth;Pinus;benthamii;Branch,mainSeed;D;F;Die-back;Dead;Deadf;Alive;Alive;Fusarium,Spharopsis
70;iswepe;Kwazulu-Natal;eucalyptus;benthamii;root,Seed;D;F;Die-back;Browndiscoloration;Discolorationn;Discoloration;Alive;Phytophthora
71;Baziya;KZN;Pinus;benthamii;foliage,root;D;F;Healthy;Girdling,Discoloration,Outerbark,Betweenouter&innerbark;Discolorationn,Outerbark,Cambium;Canker,Kino/Gum/ResinExudation;Discoloration;Cylindrocladiumsp
72;Riverdale;WesternCape;eucalyptus;benthamii;Seed/Cuttings;A;N;Die-back;Welldeveloped,Dead;Discolorationn;Healthy;Alive,Dead;PythiumandPhytophthorascreening
73;Kwambonambi;WesternCape;eucalyptus;benthamii;Seed/Cuttings;A;F;Dryrootss,Healthy;Welldeveloped;Health;Discoloration;Alive;Bdothidea
74;Tzaneen;Limpopo;Pinus;benthamii;Seed/Cuttings;D;F;Healthy;J-rooting,Fewroots,Dead;Girdling,Mechanicaldamage,Discolorationn;Discoloration;Alive,Wilted,Discoloration;Fusariumciricnatum
75;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead,Fewroots;Mechanicaldamage,Discolorationn;Healthy;Alive,Wilted;Fusariumciricnatum
76;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Discolorationn,Outerbark;Wilted,Dead,Discoloration;Drys;Fusariumciricnatum
77;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Healthy;Welldeveloped,J-rooting;Discolorationn,Outerbark,Sapwood;Discoloration,Outerbark,Cambium,Sapwood;Wilted,Discoloration;Secondarybacterium/Fungi
78;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Health;Healthy;Alive;Fusariumciricnatum
79;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Brownroots,Greentips;Fewroots,Dead;Discolorationn,Outerbark,Betweeninnerandouterbark;Discoloration,Outerbark;Alive;Fusariumciricnatum
80;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Die-back;Healthyy;Discolorationn,Outerbark,Betweeninnerandouterbark,Cambium;Discoloration,Outerbark,Betweeninnerandouterbark,Cambium;Alive;Fusariumciricnatum
81;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Brownroots,Greentips;Welldeveloped,Dead,J-rooting;Discolorationn,Sapwood;Healthy;Alive,Wilted;Fusariumciricnatum
82;Ngodwana;Mpumalanga;Pinus;benthamii;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Discolorationn,Outerbark;Discoloration,Cambium;Alive;Fusariumciricnatum
83;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;A;F;Brownroots,Greentips;Welldeveloped;Discolorationn;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Alive;Bdothidea
84;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Brownroots,Greentips;Welldeveloped,Dead;Discolorationn,Outerbark;Healthy;Alive;Bdothidea
85;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy;Health;Wilted,Discoloration;Wilted,Discoloration;Fusariumciricnatum
86;WhiteRiver;Mpumalanga;eucalyptus;benthamii;Seedlings/Cuttings;D;F;Die-back;Welldeveloped,Healthyy;Betweenouterandinnerbark;Healthy;Alive;Phytophthora
87;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Die-back;Welldeveloped,J-rooting;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Healthy;Alive;Fusariumciricnatum
88;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead,J-rooting;Discolorationn,Outerbark,Betweenouterandinnerbark;Healthy;Alive;Fusariumciricnatum
89;Hilton;Kwazulu-Natal;Pinus;benthamii;Seed;A;F;Die-back;Browndiscoloration;Discolorationn;Healthy;Wilted,Discoloration;Secondarybacterium/Fungi
90;Howick;Kwazulu-Natal;Macadamia;benthamii;Hedge;D;F;Welldeveloped,Healthy,J-rooting;Welldeveloped,Dead;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Dead;IdentifiedasFusariumoxysporum
91;Howick;Kwazulu-Natal;Pinus;benthamii;Hedge;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Cambium,Betweenouter&innerbark;Discolorationn,Outerbark,Cambium,Fruitingbodies,Betweenouterandinnerbark;Dead;Alive;IdentifiedasFusariumoxysporum
92;Howick;Kwazulu-Natal;Pinus;benthamii;Hedge;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Betweenouter&innerbark;Discolorationn,Outerbark,Fruitingbodies,Betweenouterandinnerbark;Dead;Wilted,Discoloration;NoFusariumciricnatumcircinatumorDiplodia
93;Tweedie;Kwazulu-Natal;Pinus;benthamii;Hedge;D;N;Healthy;Welldeveloped,Dead;Discolorationn,Outerbark,Cambium,Fruitingbodies,Betweenouterandinnerbark;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Dead;FusariumcircitumandDiplodascreening
94;Tweedie;Kwazulu-Natal;Pinus;benthamii;Hedge;D;N;Die-back,wilted;J-rooting,Fewroots;Discolorationn,Outerbark;Dry????y;Wilted,Die-back;Fusariumcircitumscreening
95;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;N;Healthyroots,Dryrowntips;Welldeveloped,J-rooting,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Dead;FusariumandDiplodiascreening
96;Hilton;Kwazulu-Natal;Pinus;benthamii;Seed;D;F;Welldeveloped,J-rooting,Plugbound;Dead;Outerbark,Betweenouterandinnerbark;Alive;Wilted,Discoloration;ScreeningforFusariumcircitum
97;bergplaas;Kwazulu-Natal;Macadamia;benthamii;Branch,root,mainSeed;D;N;Healthy,Healthy;J-rooting,Fewroots,Plugboundd;Discolorationn,Cambium,Sapwood;Healthy;Wilted,Discoloration;ScreeningforpathogenicFungi/bacterium
98;Howick;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,J-rooting;Health;Healthy;Alive;Fusariumciricnatum
99;PietRetief;Mpumalanga;eucalyptus;benthamii;roots,Seed/Cuttings;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Cambium,Swelling;Health;Discoloration,Outerbark,Healthy;Alive;NoPhytophthoraorPythiumidentified
100;PietRetief;Mpumalanga;eucalyptus;benthamii;roots,Seed/Cuttings;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Cambium,Swelling;Discolorationn,Sapwood;Healthy;Wilted,Discoloration;NoPhytophthoraorPythiumidentified
101;Howick;Kwazulu-Natal;eucalyptus;benthamii;Soil,leaves;D;F;Die-back;Dead;Health;Discoloration;Alive;FSP
102;Sabie;Mpumalanga;Pinus;benthamii;Seed/Cuttings;D;F;Brownroots,Greentips;Dead;Mechanicaldamage,Discolorationn,Fruitingbodies,Sapwood;Alive;Alive;Secondarybacterium/Fungi
103;Howick;Kwazulu-Natal;Pinus;benthamii;Seed,Hedge;D;N;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead;Discolorationn,Outerbark;Healthy;Alive,SometipsAlive;Fusariumciricnatumnotidentified
104;Paulpietersburg;Kwazulu-Natal;Pinus;benthamii;Seed/Cuttings;A;F;Healthy;Healthyy;Health;Healthy;Alive;Fusariumscreening
105;Sabie;Mpumalanga;Pinus;caribaea;Seed;A;F;Welldeveloped,Healthy;Dead;Discolorationn;Alive;Wilted,Dead,Discoloration;ScreeningforFusariumciricnatum/Diplodia
106;Sabie;Mpumalanga;Pinus;caribaea;Seed;A;F;Welldeveloped,Healthy,J-rooting;Dead;Discolorationn;Healthy,Outerbark;Wilted,Discoloration;ScreeningforFusariumcircitum
107;Hilton;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Root:shootratio;Healthyy;Discolorationn;Healthy;Alive;Fusariumciricnatum
108;Sabie;Mpumalanga;Pinus;caribaea;Seed;A;F;Die-back;Dead;Clean;ResinExudation;Wilted,DryandBrown;ScreeningforFusariumcircitum
109;Hilton;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Die-back,Healthy;Fewroots,Dead;Discolorationn,Cambium,Sapwood;Healthy,Discoloration;Alive;Fusariumciricnatum
110;Howick;Kwazulu-Natal;eucalyptus;caribaea;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead;Discolorationn,Cambium;Discoloration,Cambium;Dead;FusariumandDiplodiascreening
111;Hilton;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Welldeveloped,Healthy;Welldeveloped,Healthyy;Health,Discolorationn;Healthy;Alive;Fusariumciricnatum
112;Hilton;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Healthyy,J-rooting;Discolorationn,Cambium,Sapwood;Healthy,Discoloration,Cambium;Alive;Fusariumciricnatum
113;Howick;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Healthy,Welldeveloped;Fewroots,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark;Healthy;Alive;Fusariumciricnatum
114;Howick;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Brownroots,Greentips;Fewroots,Dead;Discolorationn;Discoloration;Wilted,Discoloration;Fusariumciricnatum
115;Sabie;Mpumalanga;Pinus;caribaea;Seed;A;F;Die-back;Dead;Clean;Wilted;Alive;ScreeningforFusariumcircitum
116;Hilton;Kwazulu-Natal;Pinus;caribaea;Seed/Cuttings;D;F;Root:shootratio;Fewroots,Healthyy;Discolorationn,Cambium;Healthy;Alive;Fusariumciricnatum
117;Kwambonambi;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;foliage;D;F;Browntips,Healthyroots;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn;Alive;Alive;Ssapinea
118;klipkraal;Comrie;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;A;N;Welldeveloped,Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
119;Ngodwana;Mpumalanga;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;A;N;Healthy;Fewroots,Dead;Discolorationn;Discoloration;Wilted;Fusariumscreening
120;Howick;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;D;F;Welldeveloped,J-rooting,Healthy;Healthyy;Discolorationn;Discoloration;Alive;Fusariumscreening
121;Ngodwana;Mpumalanga;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;A;N;Drycorch;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
122;Ngodwana;Mpumalanga;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;A;N;Drycorch;Fewroots;Discolorationn;Discoloration;Alive;Fusariumscreening
123;Howick;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;D;N;Drytunted;Welldeveloped;Discolorationn;Discoloration;Dead;Fusariumscreening
124;Howick;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;D;N;Welldeveloped,Healthy;Discoloration,Outerbark,Betweenouter&innerbark;Mechanicaldamage,Outerbark;Alive;Wilted,Dead;Fusariumscreening
125;Howick;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;D;F;Healthy;Wilted,Dead;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark,Sapwood;Wilted;Fusariumscreening
126;Howick;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn;Discoloration;Alive,Wilted;Foxy
127;Ngodwana;Mpumalanga;Acacia;caribaeaevarhondurensdis;Seed/Cuttings;A;F;Root:shootratio;Welldeveloped;Discolorationn;Healthy,Discoloration,Outerbark;Alive,Dead;Secondarybacterium/Fungi
128;Karatara;WesternCape;Acacia;caribaeaevarhondurensdis;Twigs/Branch,Leaves/Needles,Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Health;Healthy;Alive;Diplodeapinea
129;Karatara;WesternCape;Acacia;caribaeaevarhondurensdis;Twigs/Branch,Leaves/Needles,Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead;Health;Healthy;Alive;Diplodeapinea
130;Hilton;Kwazulu-Natal;eucalyptus;caribaeaevarhondurensdis;Seed/Cuttings;D;F;Die-back;Fewroots,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Alive;Cytosporasp
131;Tweedie;Kwazulu-Natal;Pinus;caribaeaevarhondurensdis;Hedge;D;N;Healthy;Fewroots,Dead;Discolorationn,Outerbark,Cambium,Fruitingbodies,Betweenouterandinnerbark;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Dead;FusariumcircitumandDiplodascreening
