x
1;1
2;1
3;2
4;3
5;1
6;4
7;0
8;1
9;0
10;5
11;6
12;6
13;1
14;1
15;7
16;8
17;9
18;10
19;11
20;6
21;11
22;9
23;7
24;1
25;0
26;12
27;13
28;10
29;3
30;0
31;1
32;0
33;11
34;1
35;0
36;4
37;14
38;14
39;3
40;3
41;3
42;0
43;0
44;15
45;0
46;3
47;6
48;3
49;5
50;0
51;3
52;6
53;16
54;3
55;0
56;0
57;0
58;0
59;0
60;17
61;18
62;19
63;0
64;0
65;0
66;20
67;0
68;8
69;0
70;0
71;0
72;21
73;0
74;1
75;0
76;13
77;0
78;0
79;1
80;0
81;0
82;0
83;1
84;2
85;22
86;13
87;0
88;11
89;23
90;0
91;11
92;7
93;24
94;8
95;11
96;11
97;12
98;1
99;10
100;9
101;11
102;1
103;0
104;7
105;0
106;18
107;0
108;0
109;3
110;3
111;5
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;20
121;6
122;6
123;0
124;0
125;0
126;16
127;0
128;0
129;0
130;0
131;17
132;16
133;25
134;19
135;15
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;21
144;0
145;13
146;1
147;0
148;0
149;3
150;22
151;0
152;0
153;24
154;23
155;0
156;25
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
