x
1;Kwazulu-Natal
2;Tzaneen
3;Mpumalanga
4;WC
5;NE
6;Lesotho
7;Gauteng
8;Zimbabwe
9;Swaziland
10;PE
11;Vryheid
12;Nelspruit
13;Western Cape
14;Nothern province
15;northern province
16;Norma 
17;Howick
18;Northern province
19;Limpopo
20;Western Province
21;Nothern Cape
22;North-West Province
23;Norhtern provenence
24;North-West
25;Western and Eastern Cape
26;Amsterdam
27;Pretoria
28;Western Cape/Gauteng?
